map_10dl_1min_no_rs, map_10dl_1min_yes_rs, map_10dl_2min_no_rs, map_15dl_1min_no_rs, map_15dl_2min_no_rs, map_15dl_2min_yes_rs, map_20dl_1min_no_rs, map_20dl_2min_no_rs, map_20dl_2min_yes_rs, map_20dl_3min_no_rs, map_20dl_3min_yes_rs
1.043031059575968271e+02,1.043028616833061051e+02,1.043035895760230432e+02,1.043030644367142230e+02,1.043023858736005707e+02,1.043006559983074339e+02,1.043040941725351587e+02,1.043019304897233042e+02,1.043020774456349784e+02,1.043030361779727713e+02,1.043022407326600245e+02
1.042090525991067835e+02,1.042077458907573373e+02,1.042093020481723613e+02,1.042083557459345400e+02,1.042090662975478637e+02,1.042059202686721022e+02,1.042095708179952567e+02,1.042079583717537616e+02,1.042075940058280423e+02,1.042100761302068150e+02,1.042080520849412011e+02
1.042557156463244041e+02,1.042539733920708329e+02,1.042552690053580307e+02,1.042548153593268410e+02,1.042570481627554813e+02,1.042527609788430425e+02,1.042560926772512744e+02,1.042549206061767677e+02,1.042536554605890444e+02,1.042574806929427922e+02,1.042545057721803232e+02
1.044143267360223035e+02,1.044133293599858376e+02,1.044133105516129660e+02,1.044136937035864037e+02,1.044169432993749922e+02,1.044128848843419490e+02,1.044157745432358837e+02,1.044142465689868970e+02,1.044127959514313062e+02,1.044162880373967113e+02,1.044136817570739311e+02
1.044953772353654671e+02,1.044959497898151426e+02,1.044946107812371281e+02,1.044955031628508380e+02,1.044982829111081202e+02,1.044960941163011938e+02,1.044985540300882434e+02,1.044962984898845235e+02,1.044953451741578476e+02,1.044970692665774266e+02,1.044962435378325267e+02
1.044085456305894155e+02,1.044101838079026976e+02,1.044087775557323852e+02,1.044097010384165287e+02,1.044105822383752979e+02,1.044108929472608480e+02,1.044124694623168779e+02,1.044103323372383869e+02,1.044101826741863448e+02,1.044094591405037562e+02,1.044102170715623998e+02
1.042864084896804400e+02,1.042879422586934908e+02,1.042880496134587247e+02,1.042885398328771487e+02,1.042874915709052175e+02,1.042892788457520368e+02,1.042896537066762193e+02,1.042887257050288525e+02,1.042892796023638908e+02,1.042866528506376369e+02,1.042878314947844274e+02
1.043047495423676736e+02,1.043057075300070409e+02,1.043070493278222841e+02,1.043069264201215134e+02,1.043056730838304844e+02,1.043072359575580208e+02,1.043067582912295990e+02,1.043070910157306486e+02,1.043079286425203946e+02,1.043043183435128327e+02,1.043054474079355884e+02
1.044410743729085738e+02,1.044415355195920654e+02,1.044428960610204768e+02,1.044418986317169384e+02,1.044422122181545092e+02,1.044425245368012583e+02,1.044418150929627274e+02,1.044426769105102295e+02,1.044430627553999784e+02,1.044401816394750142e+02,1.044410403488462293e+02
1.045010001925937360e+02,1.045011539681147781e+02,1.045017657623343865e+02,1.045006801809180104e+02,1.045018237158084133e+02,1.045014307678347762e+02,1.045006107385250687e+02,1.045015102626411334e+02,1.045014214400217867e+02,1.045000889140116129e+02,1.045007672368267322e+02
1.043831659124286091e+02,1.043832189078204067e+02,1.043829982479234673e+02,1.043828836264024176e+02,1.043834640320944516e+02,1.043831567152740405e+02,1.043823521293882379e+02,1.043830118258461539e+02,1.043827931443347552e+02,1.043822825578775593e+02,1.043830148708147760e+02
1.042202103541092697e+02,1.042201414258624936e+02,1.042194898752425871e+02,1.042201882148651748e+02,1.042201947657535186e+02,1.042203099887270383e+02,1.042197702406397468e+02,1.042200234125155305e+02,1.042194170688303814e+02,1.042189625832894535e+02,1.042198111844340929e+02
1.042044395102239349e+02,1.042039852551878596e+02,1.042034172098778129e+02,1.042043120997799264e+02,1.042045352136616145e+02,1.042048653301215637e+02,1.042048685663186234e+02,1.042050015691932288e+02,1.042035251479265412e+02,1.042030456147443687e+02,1.042033669173663242e+02
1.043319841664666257e+02,1.043314368143811492e+02,1.043307082340248542e+02,1.043317737992039724e+02,1.043319260645834561e+02,1.043326898861298702e+02,1.043330467557115782e+02,1.043332774962346150e+02,1.043314087230805569e+02,1.043314051047098161e+02,1.043304936557289864e+02
1.044110983264694141e+02,1.044108834343249441e+02,1.044097453145713104e+02,1.044110431336772393e+02,1.044107836042024644e+02,1.044116111239220572e+02,1.044126519087819105e+02,1.044127349918111491e+02,1.044112210908426590e+02,1.044115365027183202e+02,1.044103072317711138e+02
1.043308745244904401e+02,1.043308312779331004e+02,1.043298012582314840e+02,1.043308623776564872e+02,1.043306782768921437e+02,1.043308279224261810e+02,1.043327605996442173e+02,1.043321667535205250e+02,1.043313094021489746e+02,1.043317873499320427e+02,1.043311885015618259e+02
1.042172053713695874e+02,1.042173600073444106e+02,1.042167976011344166e+02,1.042173213647672583e+02,1.042175192304199385e+02,1.042168733680354507e+02,1.042186975830495044e+02,1.042179095817820240e+02,1.042171065358740378e+02,1.042176221656467590e+02,1.042177138311780595e+02
1.042513503131467729e+02,1.042509369459793618e+02,1.042516029654651675e+02,1.042513962497608446e+02,1.042518625476212577e+02,1.042508823632501418e+02,1.042518197553723240e+02,1.042518246406411038e+02,1.042507018359369511e+02,1.042502480265874709e+02,1.042510090424952693e+02
